Wed Jul 31 16:10:00 2013 : ../crawl data/INKFRUIT/data//www.inkfruit.com Successfully open
Wed Jul 31 16:10:00 2013 : Parsing ../crawl data/INKFRUIT/data//www.inkfruit.com begin.
Wed Jul 31 16:10:00 2013 : Parsing ../crawl data/INKFRUIT/data//www.inkfruit.com complete.
Wed Jul 31 16:10:55 2013 : ../crawl data/INKFRUIT/data//www.inkfruit.com Successfully open
Wed Jul 31 16:10:55 2013 : Parsing ../crawl data/INKFRUIT/data//www.inkfruit.com begin.
Wed Jul 31 16:10:55 2013 : Parsing ../crawl data/INKFRUIT/data//www.inkfruit.com complete.
Wed Jul 31 16:11:42 2013 : ../crawl data/INKFRUIT/data//www.inkfruit.com Successfully open
Wed Jul 31 16:11:42 2013 : Parsing ../crawl data/INKFRUIT/data//www.inkfruit.com begin.
Wed Jul 31 16:11:42 2013 : Parsing ../crawl data/INKFRUIT/data//www.inkfruit.com complete.
Wed Jul 31 16:12:33 2013 : ../crawl data/ZOVI/data//www.zovi.com Successfully open
Wed Jul 31 16:12:33 2013 : Parsing ../crawl data/ZOVI/data//www.zovi.com begin.
Wed Jul 31 16:12:33 2013 : Parsing ../crawl data/ZOVI/data//www.zovi.com complete.
Wed Jul 31 16:14:16 2013 : ../crawl data/JABONG/data//www.jabong.com Successfully open
Wed Jul 31 16:14:16 2013 : Parsing ../crawl data/JABONG/data//www.jabong.com begin.
Wed Jul 31 16:14:16 2013 : Parsing ../crawl data/JABONG/data//www.jabong.com complete.
Wed Jul 31 16:17:40 2013 : ../crawl data/JABONG/data//jessi-jordan Successfully open
Wed Jul 31 16:17:41 2013 : Parsing ../crawl data/JABONG/data//jessi-jordan begin.
Wed Jul 31 16:17:41 2013 : Parsing ../crawl data/JABONG/data//jessi-jordan complete.
Wed Jul 31 16:21:02 2013 : ../crawl data/FREECULTR/data//www.freecultr.com Successfully open
Wed Jul 31 16:21:02 2013 : Parsing ../crawl data/FREECULTR/data//www.freecultr.com begin.
Wed Jul 31 16:21:02 2013 : Parsing ../crawl data/FREECULTR/data//www.freecultr.com complete.
Wed Jul 31 16:26:39 2013 : ../crawl data/INKFRUIT/data//mens-all-graphic-tees?misc_ref_code=hp_banner_mens-all-graphic-tees Successfully open
Wed Jul 31 16:26:39 2013 : Parsing ../crawl data/INKFRUIT/data//mens-all-graphic-tees?misc_ref_code=hp_banner_mens-all-graphic-tees begin.
Wed Jul 31 16:26:39 2013 : Parsing ../crawl data/INKFRUIT/data//mens-all-graphic-tees?misc_ref_code=hp_banner_mens-all-graphic-tees complete.
Wed Jul 31 16:47:13 2013 : ../crawl data/Inkfruit/data/navy-zombie-graphic-t-shirt--S133RNM77001 Successfully open
Wed Jul 31 16:47:13 2013 : Parsing ../crawl data/Inkfruit/data/navy-zombie-graphic-t-shirt--S133RNM77001 begin.
Wed Jul 31 16:47:13 2013 : Parsing ../crawl data/Inkfruit/data/navy-zombie-graphic-t-shirt--S133RNM77001 complete.
Fri Aug  2 15:31:32 2013 : ../crawl data/ZOVI/data/www.zovi.com Successfully open
Fri Aug  2 15:31:32 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com begin.
Fri Aug  2 15:31:32 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com complete.
Fri Aug  2 15:32:33 2013 : ../crawl data/ZOVI/data/www.zovi.com Successfully open
Fri Aug  2 15:32:33 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com begin.
Fri Aug  2 15:32:33 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com complete.
Fri Aug  2 15:34:14 2013 : ../crawl data/ZOVI/data/www.zovi.com Successfully open
Fri Aug  2 15:34:14 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com begin.
Fri Aug  2 15:34:14 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com complete.
Fri Aug  2 15:35:17 2013 : ../crawl data/ZOVI/data/www.zovi.com Successfully open
Fri Aug  2 15:35:17 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com begin.
Fri Aug  2 15:35:17 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com complete.
Fri Aug  2 15:35:36 2013 : ../crawl data/ZOVI/data/www.zovi.com Successfully open
Fri Aug  2 15:35:36 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com begin.
Fri Aug  2 15:35:36 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com complete.
Fri Aug  2 15:36:21 2013 : ../crawl data/ZOVI/data/www.zovi.com Successfully open
Fri Aug  2 15:36:21 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com begin.
Fri Aug  2 15:36:21 2013 : Parsing ../crawl data/ZOVI/data/www.zovi.com complete.
Fri Aug  2 15:39:11 2013 : ../crawl data/FREECULTR/data/www.freecultr.com Successfully open
Fri Aug  2 15:39:11 2013 : Parsing ../crawl data/FREECULTR/data/www.freecultr.com begin.
Fri Aug  2 15:39:11 2013 : Parsing ../crawl data/FREECULTR/data/www.freecultr.com complete. 142 links and 0 images found.
Fri Aug  2 15:42:10 2013 : ../crawl data/FREECULTR/data/happyfriendshipday Successfully open
Fri Aug  2 15:42:10 2013 : Parsing ../crawl data/FREECULTR/data/happyfriendshipday begin.
Fri Aug  2 15:42:10 2013 : Parsing ../crawl data/FREECULTR/data/happyfriendshipday complete. 136 links and 0 images found.
Fri Aug  2 16:06:15 2013 : ../crawl data/FREECULTR/data/happyfriendshipday Successfully open
Fri Aug  2 16:06:15 2013 : Parsing ../crawl data/FREECULTR/data/happyfriendshipday begin.
Fri Aug  2 16:06:15 2013 : Parsing ../crawl data/FREECULTR/data/happyfriendshipday complete. 136 links and 0 images found.
Fri Aug  2 16:07:05 2013 : ../crawl data/FREECULTR/data/happyfriendshipday Successfully open
Fri Aug  2 16:07:05 2013 : Parsing ../crawl data/FREECULTR/data/happyfriendshipday begin.
Fri Aug  2 16:07:05 2013 : Parsing ../crawl data/FREECULTR/data/happyfriendshipday complete. 136 links and 0 images found.
Fri Aug  2 16:07:14 2013 : ../crawl data/ZOVI/data/www.zovi.com Successfully open
